,noun,adjectives,verbs,adverbs,miscellaneous,prepositions
0,Apple,angry,accept,abruptly,Abacus,about
1,Ball,brave,bake,accidentally,Abandon,above
2,Cat,calm,call,actively,Abbreviate,across
3,Dog,delightful,dance,actually,Abduct,after
4,Elephant,eager,eat,angrily,Abhor,against
5,Fish,fierce,fix,anxiously,Abolish,along
6,Goat,gentle,give,awkwardly,Abrupt,amid
7,House,happy,help,badly,Abundant,among
8,Ice,itchy,jump,barely,Abyss,around
9,Jacket,jolly,know,beautifully,Academic,as
10,Kite,kind,listen,bitterly,Accelerate,at
11,Lamp,lively,make,blindly,Access,before
12,Mountain,mighty,notice,boldly,Accessible,behind
13,Notebook,nervous,open,bravely,Acclaim,below
14,Orange,obedient,play,briefly,Acclimate,beneath
15,Pencil,proud,quit,brightly,Acquaint,beside
16,Queen,quiet,run,briskly,Acquire,besides
17,Rabbit,rich,swim,brutally,Acquit,between
18,Ship,shy,talk,calmly,Acrid,beyond
19,Table,tall,understand,carefully,Actuate,but
20,Umbrella,ugly,visit,carelessly,Adage,by
21,Vase,victorious,wait,certainly,Adapt,concerning
22,Whale,warm,x-ray,cheerfully,Addendum,despite
23,Xylophone,xenophobic,yawn,clearly,Adequate,down
24,Yarn,young,zoom,closely,Adhere,during
25,Zebra,zealous,ask,coldly,Adjacent,except
26,Airplane,adorable,bring,commonly,Adjudicate,for
27,Book,bright,choose,constantly,Adorn,from
28,Car,clumsy,dig,correctly,Adrift,in
29,Drum,dizzy,enjoy,courageously,Adverse,inside
30,Engine,elegant,find,curiously,Advocate,into
31,Flag,fancy,grow,daily,Aegis,like
32,Garden,grumpy,hope,deeply,Aesthetic,near
33,Hat,hungry,invite,defiantly,Affable,of
34,Island,innocent,join,deliberately,Affect,off
35,Jungle,jealous,keep,eagerly,Affinity,on
36,Key,keen,laugh,easily,Affluent,onto
37,Lion,lazy,move,elegantly,Agenda,out
38,Moon,mysterious,need,equally,Agile,outside
39,Necklace,naughty,offer,especially,Agitate,over
40,Ocean,obedient,paint,exactly,Agony,past
41,Piano,polite,read,excitedly,Alleviate,regarding
42,Quilt,quick,sing,faithfully,Allocate,round
43,Robot,rude,travel,famously,Allure,since
44,Sand,silly,use,fearfully,Altruistic,through
45,Tree,tough,vote,fiercely,Amass,throughout
46,Unicorn,unusual,walk,fondly,Ambiguous,to
47,Violin,vast,x-ray,foolishly,Ambition,toward
48,Window,wicked,yell,fortunately,Ample,under
49,Yacht,youthful,zip,frankly,Amplify,underneath
50,Zoo,zany,agree,frantically,Analogy,until
51,Ant,active,build,freely,Anarchy,up
52,Bridge,beautiful,clean,frequently,Anomaly,upon
53,Castle,charming,discover,frightfully,Anticipate,with
54,Door,dull,explore,generally,Apathetic,within
55,Eagle,excited,fight,gently,Applaud,without
56,Fan,funny,gather,gladly,Applicable,aboard
57,Giraffe,gorgeous,hide,gracefully,Apprehend,about
58,Hammer,helpful,ignore,gratefully,Appraisal,above
59,Igloo,intelligent,jog,greatly,Aptitude,according to
60,Jewel,joyful,kick,happily,Arbitrary,across
61,Kite,knowledgeable,learn,hastily,Arcane,after
62,Leaf,lonely,mention,healthily,Archaic,against
63,Mountain,modern,organize,honestly,Arduous,ahead of
64,Nest,neat,pull,hopelessly,Articulate,along
65,Owl,odd,rest,hourly,Ascertain,amid
66,Panda,pretty,sleep,hungrily,Ascend,among
67,Quail,quiet,teach,hurriedly,Aspire,apart from
68,Rose,rude,understand,immediately,Assail,around
69,Star,strong,verify,innocently,Assertive,as for
70,Turtle,tasty,whistle,intensely,Assess,as of
71,Umbrella,ugly,x-ray,intently,Asset,at
72,Vulture,valuable,yawn,interestingly,Assiduous,because of
73,Wolf,wild,zigzag,inwardly,Associate,before
74,X-ray,xenial,arrive,jealously,Assuage,behind
75,Yak,yellow,begin,jovially,Astonish,below
76,Zebra,zesty,carry,joyfully,Astute,beneath
77,Anchor,angry,decide,joyously,Attain,beside
78,Bread,bold,encourage,justly,Attentive,besides
79,Cloud,careful,fall,kindly,Authentic,between
80,Dolphin,delicate,grow,lazily,Authority,beyond
81,Engine,enthusiastic,hold,lightly,Autonomous,but
82,Fire,fabulous,inquire,likely,Avarice,by
83,Grass,graceful,jump,loudly,Avid,by means of
84,Horse,horrible,kneel,loyally,Awkward,concerning
85,Ink,impressive,leave,madly,Banish,despite
86,Jet,jovial,measure,merrily,Barrage,down
87,Kangaroo,kind,notice,mildly,Bastion,due to
88,Lake,lovely,overcome,miserably,Belabor,during
89,Mirror,messy,pick,mockingly,Benevolent,except
90,Night,nervous,rest,monthly,Benign,except for
91,Octopus,obedient,stay,mortally,Bequeath,excepting
92,Parrot,perfect,tell,mostly,Bizarre,for
93,Queen,quick,upgrade,mysteriously,Blatant,from
94,River,rare,view,narrowly,Blissful,in
95,Snow,scary,write,naturally,Boisterous,in addition to
96,Tower,terrific,x-ray,nearly,Bolster,in case of
97,Actor,unusual,yodel,neatly,Bounty,in front of
98,Bird,vivid,zip,nervously,Brash,in lieu of
99,Candle,wonderful,assist,nightly,Breach,in spite of
100,Desk,yummy,borrow,noisily,Brisk,inside
101,Egg,zonal,climb,obediently,Broach,instead of
102,Frog,athletic,dream,obviously,Buoyant,into
103,Guitar,big,escape,occasionally,Burgeon,like
104,Hill,cold,fly,oddly,Burlesque,near
105,Island,drab,gather,officially,Cacophony,next to
106,Jelly,expensive,heat,openly,Cadence,notwithstanding
107,Kangaroo,foolish,identify,painfully,Callous,of
108,Ladder,giant,join,particularly,Candor,off
109,Mirror,harsh,knock,patiently,Capacious,on
110,Net,important,lead,perfectly,Capricious,on account of
111,Oven,juicy,melt,politely,Catalyst,on behalf of
112,Pillow,kindhearted,observe,poorly,Catastrophe,on top of
113,Quicksand,large,pull,powerfully,Caustic,onto
114,Road,mature,remember,promptly,Celestial,out
115,Stool,nice,sit,properly,Chagrin,out of
116,Tiger,outgoing,talk,punctually,Charmed,outside
117,Unicorn,polished,undergo,quickly,Chaotic,over
118,Vulture,quick,volunteer,quietly,Chivalry,past
119,Wave,rough,watch,rapidly,Chronicle,prior to
120,Xenon,short,yawn,rarely,Clarity,regarding
121,Yogurt,tall,zoom,readily,Clutch,round
122,Zeppelin,unique,act,really,Coalesce,since
123,Album,vibrant,burn,reassuringly,Coerce,through
124,Brush,wide,create,recklessly,Cogent,throughout
125,Cave,xanthic,draw,regularly,Cohesive,to
126,Dancer,young,exit,reluctantly,Collaborate,toward
127,Elephant,zippy,focus,repeatedly,Commemorate,under
128,Forest,arrogant,guide,rightfully,Commence,underneath
129,Garage,bitter,imagine,rudely,Commingle,unlike
130,Hat,clumsy,jump,sadly,Complacent,until
131,Iceberg,dark,knead,safely,Complicit,up
132,Jewel,efficient,laugh,scarcely,Concede,upon
133,Knot,faint,move,secretly,Concur,versus
134,Leopard,gentle,navigate,selfishly,Condone,via
135,Monitor,hard,pack,sensibly,Conducive,with
136,Newspaper,impatient,reach,seriously,Conflate,within
137,Octopus,jumpy,start,shakily,Conjecture,without
138,Paint,kind,think,sharply,Connoisseur,according to
139,Quill,long,unite,sheepishly,Conquer,ahead of
140,Rock,moody,vote,shyly,Conscience,apart from
141,Sponge,nifty,work,silently,Conspicuous,as per
142,Tape,obedient,x-ray,simply,Consternation,because of
143,Umbrella,peaceful,yield,sleepily,Contemplate,close to
144,Violet,quick,zip,slowly,Contrive,due to
145,Whisk,remarkable,achieve,smoothly,Convalesce,far from
146,Xylophone,smooth,buy,softly,Convex,in accordance with
147,Yak,tricky,compare,solemnly,Copious,in addition to
148,Zeppelin,unpredictable,drive,speedily,Corporeal,in front of
149,Anchor,vast,enlist,stealthily,Covert,in line with
